BIN;slage;Om;Tm
2;522.5;-8.472727273;61.2555438
3;507;-8.118671329;59.00694589
4;494.65;-7.764615385;56.78843333
5;483.45;-9.2065;66.01149707
6;472.3;-7.969705882;58.06986307
7;463.25;-6.964230769;51.88410738
8;455;-5.18372549;41.52556433
9;446.6;-4.705;38.870243
10;435.95;-4.264083333;36.47329213
11;423.45;-4.73345098;39.02651326
12;412.85;-5.689012346;44.3878772
13;402.25;-5.398636364;42.7354875
14;391.4;-5.889351852;45.5397099
15;379.9;-4.626956522;38.44257763
16;367.6;-5.587768924;43.8094519
17;353;-3.867304348;34.35617211
18;338.65;-3.910933333;34.58711728
19;325.05;-3.49734127;32.41617545
20;312.3;-3.890210526;34.47736645
21;302.75;-2.499655172;27.34828967
22;291.7;-2.448425656;27.09451044
23;277.5;-3.393333333;31.87669867
24;265.5;-6.412727273;48.59425944
25;255.7;-3.695825243;33.45289297
26;248;-3.854634146;34.28918941
27;236.5;-3.5785;32.83893947
28;222.25;-2.374545455;26.72963412
29;208.05;-1.765121951;23.76981037
30;194.6;-1.413731343;22.10370501
31;186.3;-2.545241935;27.57464562
32;177.3;-0.419047619;17.54811973
33;168.15;-0.993684211;20.15095216
34;157.75;-0.584918567;18.29130052
35;148.15;-1.429318182;22.17698133
36;140.95;-0.841;19.45163372
37;130.7;-0.060515464;15.96428688
38;118.5;-0.454891304;17.70815722
39;105.8;-1.225172414;21.22187742
40;96.55;-2.072553191;25.25178912
41;88.5;-2.074657534;25.26201132
42;77.05;-1.372763819;21.91138791
43;68.05;0.02312;15.59926094
44;60.65;0.211589404;14.78284261
45;48.1;0.164237918;14.98715957
46;37.15;1.425225653;9.729768332
47;28.45;2.19406071;6.711563592
48;17.3;1.896035503;7.864679283
49;5.805;3.269875445;2.726393311
