BIN;AGE_BASE;AGE_MID;AGE_TOP;BIN_NAME;Period;Period2;Climat
1;542;537;532;Cambrian 1;ar1;ar1;w
2;532;522.5;513;Cambrian 2;cc1;;w
3;513;507;501;Cambrian 3;cc1;;w
4;501;494.65;490;Cambrian 4;cc1;;w
5;490;483.45;478.6;Ordovician 1;cc1;cc1;w
6;478.6;472.3;466;Ordovician 2;cc1;cc1;w
7;466;463.25;460.5;Ordovician 3;cc1;cc1;w
8;460.5;455;449.5;Ordovician 4;cc1;cc1;w
9;449.5;446.6;443.7;Ordovician 5;cc1;cc1;c
10;443.7;435.95;428.2;Silurian 1;cc1;cc1;c
11;428.2;423.45;418.1;Silurian 2;cc1;cc1;w
12;418.1;412.85;407;Devonian 1;cc1;cc1;w
13;407;402.25;397.5;Devonian 2;cc1;cc1;w
14;397.5;391.4;385.3;Devonian 3;cc1;cc1;w
15;385.3;379.9;374.5;Devonian 4;cc1;cc1;w
16;374.5;367.6;360.7;Devonian 5;cc1;cc1;w
17;360.7;353;345.3;Carboniferous 1;cc1;cc1;w
18;345.3;338.65;332;Carboniferous 2;cc1;;w
19;332;325.05;318.1;Carboniferous 3;ar2;;c
20;318.1;312.3;306.5;Carboniferous 4;ar2;ar2;c
21;306.5;302.75;299;Carboniferous 5;ar2;ar2;c
22;299;291.7;284.4;Permian 1;ar2;ar2;c
23;284.4;277.5;270.6;Permian 2;ar2;ar2;c
24;270.6;265.5;260.4;Permian 3;ar2;ar2;w
25;260.4;255.7;251;Permian 4;ar2;ar2;w
26;251;248;245;Triassic 1;ar2;ar2;w
27;245;236.5;228;Triassic 2;ar2;ar2;w
28;228;222.25;216.5;Triassic 3;ar2;ar2;w
29;216.5;208.05;199.6;Triassic 4;ar2;ar2;w
30;199.6;194.6;189.6;Jurassic 1;ar2;;w
31;189.6;186.3;183;Jurassic 2;ar2;;w
32;183;177.3;171.6;Jurassic 3;ar2;;c
33;171.6;168.15;164.7;Jurassic 4;cc2;;c
34;164.7;157.75;150.8;Jurassic 5;cc2;cc2;c
35;150.8;148.15;145.5;Jurassic 6;cc2;cc2;c
36;145.5;140.95;136.4;Cretaceous 1;cc2;cc2;c
37;136.4;130.7;125;Cretaceous 2;cc2;cc2;c
38;125;118.5;112;Cretaceous 3;cc2;cc2;w
39;112;105.8;99.6;Cretaceous 4;cc2;cc2;w
40;99.6;96.55;93.5;Cretaceous 5;cc2;cc2;w
41;93.5;88.5;83.5;Cretaceous 6;cc2;cc2;w
42;83.5;77.05;70.6;Cretaceous 7;cc2;cc2;w
43;70.6;68.05;65.5;Cretaceous 8;cc2;cc2;w
44;65.5;60.65;55.8;Cenozoic 1;cc2;;w
45;55.8;48.1;40.4;Cenozoic 2;cc2;;w
46;40.4;37.15;33.9;Cenozoic 3;cc2;;w
47;33.9;28.45;23;Cenozoic 4;ar3;;c
48;23;17.3;11.6;Cenozoic 5;ar3;ar3;c
49;11.6;5.805;0.01;Cenozoic 6;ar3;ar3;c
