BIN;AGE_BASE;AGE_MID;AGE_TOP;BIN_NAME;Div
1;542;537;532;Cambrian 1;NA
2;532;522.5;513;Cambrian 2;250
3;513;507;501;Cambrian 3;257
4;501;494.65;488.3;Cambrian 4;310
5;488.3;483.45;478.6;Ordovician 1;295
6;478.6;472.3;466;Ordovician 2;350
7;466;463.25;460.5;Ordovician 3;345
8;460.5;455;449.5;Ordovician 4;390
9;449.5;446.6;443.7;Ordovician 5;410
10;443.7;435.95;428.2;Silurian 1;380
11;428.2;423.45;418.7;Silurian 2;430
12;418.7;412.85;407;Devonian 1;470
13;407;402.25;397.5;Devonian 2;545
14;397.5;391.4;385.3;Devonian 3;410
15;385.3;379.9;374.5;Devonian 4;340
16;374.5;367.6;360.7;Devonian 5;370
17;360.7;353;345.3;Carboniferous 1;410
18;345.3;338.65;332;Carboniferous 2;360
19;332;325.05;318.1;Carboniferous 3;300
20;318.1;312.3;306.5;Carboniferous 4;315
21;306.5;302.75;299;Carboniferous 5;280
22;299;291.7;284.4;Permian 1;300
23;284.4;277.5;270.6;Permian 2;450
24;270.6;265.5;260.4;Permian 3;555
25;260.4;255.7;251;Permian 4;515
26;251;248;245;Triassic 1;330
27;245;236.5;228;Triassic 2;340
28;228;222.25;216.5;Triassic 3;405
29;216.5;208.05;199.6;Triassic 4;370
30;199.6;194.6;189.6;Jurassic 1;280
31;189.6;186.3;183;Jurassic 2;262
32;183;177.3;171.6;Jurassic 3;315
33;171.6;168.15;164.7;Jurassic 4;390
34;164.7;157.75;150.8;Jurassic 5;480
35;150.8;148.15;145.5;Jurassic 6;395
36;145.5;140.95;136.4;Cretaceous 1;420
37;136.4;130.7;125;Cretaceous 2;460
38;125;118.5;112;Cretaceous 3;520
39;112;105.8;99.6;Cretaceous 4;550
40;99.6;96.55;93.5;Cretaceous 5;530
41;93.5;88.5;83.5;Cretaceous 6;660
42;83.5;77.05;70.6;Cretaceous 7;560
43;70.6;68.05;65.5;Cretaceous 8;550
44;65.5;60.65;55.8;Cenozoic 1;565
45;55.8;48.1;40.4;Cenozoic 2;568
46;40.4;37.15;33.9;Cenozoic 3;575
47;33.9;28.45;23;Cenozoic 4;560
48;23;17.3;11.6;Cenozoic 5;640
49;11.6;5.805;0.01;Cenozoic 6;630
