Bin,Bin name,Base (Ma),Midpoint (Ma),Items sampled,Mean two timers diversity,Raw SIB diversity,Corrected SIB diversity,Origination rate,Extinction rate
49,Cenozoic 6,11.6,5.8,2314.2,325.0,683.300,0.0,0.000,0.000
48,Cenozoic 5,23.0,17.3,2528.0,294.8,732.800,634.3,0.229,0.131
47,Cenozoic 4,33.9,28.5,2404.8,257.7,525.500,551.9,0.219,0.084
46,Cenozoic 3,40.4,37.1,2415.7,322.1,669.500,619.9,0.122,0.345
45,Cenozoic 2,55.8,48.1,2471.9,292.1,688.100,636.1,0.243,0.145
44,Cenozoic 1,65.5,60.6,2523.8,155.2,699.500,609.2,0.905,0.273
43,Cretaceous 8,70.6,68.0,2640.7,257.6,439.300,469.4,0.064,0.571
42,Cretaceous 7,83.5,77.0,2618.8,232.8,574.000,597.2,0.455,0.354
41,Cretaceous 6,93.5,88.5,2401.7,213.0,551.900,511.2,0.367,0.278
40,Cretaceous 5,99.6,96.5,2506.4,195.6,465.200,457.0,0.332,0.247
39,Cretaceous 4,112.0,105.8,2523.8,264.8,567.000,535.7,0.192,0.495
38,Cretaceous 3,125.0,118.5,2537.3,231.5,623.500,597.1,0.455,0.320
37,Cretaceous 2,136.4,130.7,2446.1,178.7,452.700,448.0,0.390,0.131
36,Cretaceous 1,145.5,140.9,2505.1,156.7,444.200,436.1,0.565,0.434
35,Jurassic 6,150.8,148.2,2485.0,215.9,430.000,423.3,0.152,0.472
34,Jurassic 5,164.7,157.8,2480.4,247.0,559.800,515.7,0.217,0.352
33,Jurassic 4,171.6,168.1,2558.0,130.5,523.600,419.3,0.609,-0.029
32,Jurassic 3,183.0,177.3,2445.9,130.7,309.800,295.3,0.303,0.304
31,Jurassic 2,189.6,186.3,2515.4,149.8,293.200,265.7,0.024,0.160
30,Jurassic 1,199.6,194.6,2479.3,103.4,319.500,307.7,0.591,0.220
29,Triassic 4,216.5,208.1,2511.1,206.5,490.700,407.9,0.192,0.884
28,Triassic 3,228.0,222.2,2575.5,186.0,520.100,473.6,0.444,0.339
27,Triassic 2,245.0,236.5,2518.0,84.2,416.400,370.0,1.005,0.212
26,Triassic 1,251.0,248.0,2510.4,66.3,292.300,242.3,0.980,0.741
25,Permian 4,260.4,255.7,2488.5,208.5,495.100,476.8,0.534,1.680
24,Permian 3,270.6,265.5,2416.1,226.9,500.800,489.8,0.255,0.339
23,Permian 2,284.4,277.5,2491.1,189.3,482.400,445.1,0.324,0.143
22,Permian 1,299.0,291.7,2490.2,135.5,377.600,384.0,0.533,0.199
21,Carboniferous 5,306.5,302.8,2484.5,139.2,270.500,255.5,0.059,0.086
20,Carboniferous 4,318.1,312.3,2483.4,160.4,413.100,336.9,0.226,0.368
19,Carboniferous 3,336.0,327.1,2540.5,193.7,406.800,386.8,0.166,0.354
18,Carboniferous 2,349.5,342.8,2505.2,202.0,455.800,457.0,0.311,0.352
17,Carboniferous 1,360.7,355.1,2445.5,132.8,487.500,423.6,0.675,0.255
16,Devonian 5,376.1,368.4,2536.0,129.2,391.300,377.7,0.676,0.648
15,Devonian 4,383.7,379.9,2507.9,167.3,403.400,339.2,0.191,0.450
14,Devonian 3,391.9,387.8,2543.2,265.8,593.800,535.7,0.202,0.665
13,Devonian 2,409.1,400.5,2504.7,277.5,707.600,663.3,0.386,0.429
12,Devonian 1,418.1,413.6,2496.5,231.0,671.700,645.8,0.557,0.374
11,Silurian 2,428.2,423.1,2405.9,264.1,711.700,624.9,0.389,0.523
10,Silurian 1,443.7,435.9,2452.4,172.0,567.500,595.2,0.797,0.368
9,Ordovician 5,449.5,446.6,2518.5,304.1,614.800,636.9,0.272,0.842
8,Ordovician 4,460.5,455.0,2510.3,233.2,665.800,652.9,0.536,0.270
7,Ordovician 3,466.0,463.2,2526.6,264.3,656.500,704.8,0.571,0.696
6,Ordovician 2,479.0,472.5,2476.9,209.5,621.000,669.9,0.749,0.516
5,Ordovician 1,490.0,484.5,2482.9,83.8,520.200,564.0,1.759,0.842
4,Cambrian 4,501.0,495.5,2499.9,139.9,504.000,518.4,1.452,1.964
3,Cambrian 3,513.0,507.0,2481.2,94.1,419.000,412.0,1.241,0.845
2,Cambrian 2,530.0,521.5,2549.2,0.0,572.900,0.0,0.000,0.000
1,Cambrian 1,542.0,536.0,0.0,0.0,0.000,0.0,0.000,0.000
